CalfID,CalfSex,sublocation,CADOB,ReasonsLoss,Education,Distance_water,RecruitWeight
CA020610151,1,Karisa,3/11/2007,NA,Secondary school,At household,19
CA020610152,1,Karisa,4/10/2007,NA,No formal education,<1 km,23
CA010310064,1,Kokare,3/1/2008,7,Primary school,<1 km,16.5
CA031310367,1,Yiro West,4/6/2008,7,Primary school,1-5 km,20
CA051910545,2,Bujwanga,7/4/2008,NA,Primary school,<1 km,20
CA051810516,1,Luanda,11/3/2008,NA,Primary school,<1 km,21
CA010210036,2,Kidera,12/3/2008,7,Primary school,1-5 km,15
CA052010596,2,Magombe East,2/9/2009,NA,No formal education,1-5 km,20.5
CA041610476,1,Ojwando B,4/9/2009,NA,Primary school,<1 km,17
CA051910566,2,Bujwanga,5/9/2009,NA,No formal education,<1 km,17
CA031310368,1,Yiro West,13/06/2008,18,Secondary school,At household,20
CA051910556,1,Bujwanga,13/12/2008,12,Primary school,<1 km,19.5
CA031010286,2,Bukati,15/11/2008,NA,Primary school,<1 km,23
CA030810223,1,Igero,16/08/2008,NA,Primary school,1-5 km,29
CA031210333,1,Bumala A,16/12/2007,NA,Primary school,<1 km,19.5
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20
CA010310062,2,Kokare,18/11/2007,NA,Primary school,1-5 km,14
CA041610469,1,Ojwando B,20/02/2009,NA,Primary school,<1 km,16
CA030810224,2,Igero,20/09/2008,NA,Primary school,<1 km,24
CA051910558,1,Bujwanga,22/02/2009,7,Primary school,1-5 km,20.5
CA030810233,1,Igero,23/05/2009,NA,Secondary school,1-5 km,19
CA031310375,1,Yiro West,23/10/2008,7,Secondary school,<1 km,19
CA031210334,1,Bumala A,24/01/2008,6,Primary school,1-5 km,17.5
CA020510127,2,Kamunuoit,24/04/2008,NA,Secondary school,At household,16
CA051810529,2,Luanda,25/02/2009,NA,Primary school,<1 km,16.5
CA041510443,2,Namboboto,25/07/2009,NA,Secondary school,<1 km,19.5
CA051810538,1,Luanda,25/09/2009,NA,Secondary school,<1 km,18
CA010210041,1,Kidera,27/06/2008,NA,Primary school,1-5 km,16.5
CA030810228,1,Igero,30/12/2008,NA,Primary school,<1 km,22
CA010110028,1,East Siboti,31/07/2009,7,Primary school,<1 km,19
