VisitID,CalfID,VisitDate,Weight,ManualPCV,Theileria.spp.,ELISA_mutans,ELISA_parva,Q.Strongyle.eggs
VRC010151,CA020610151,9/11/2007,19,37,0,0,0,NA
VRC010152,CA020610152,11/10/2007,23,35.8,0,0,0,NA
VRC210545,CA051910545,1/9/2008,33,27,1,0,0,NA
VRC110224,CA030810224,1/12/2008,33,44,0,0,0,NA
VRC160223,CA030810223,1/12/2008,54,30,0,1,0,50
VRC110038,CA010210038,2/7/2008,25,26,0,0,0,NA
VRC160036,CA010210036,2/7/2008,34,26,0,0,0,2300
VRC060375,CA031310375,2/12/2008,19,43,1,0,0,NA
VRC210151,CA020610151,3/4/2008,39,40,0,0,1,50
VRC260152,CA020610152,3/4/2008,71,40,0,0,0,50
VRC010041,CA010210041,3/7/2008,16.5,30,0,0,0,NA
VRC410062,CA010310062,3/9/2008,NA,26,1,0,0,350
VRC410334,CA031210334,3/11/2008,NA,NA,0,0,0,NA
VRC460333,CA031210333,3/11/2008,NA,30,1,0,0,100
VRC060127,CA020510127,4/6/2008,25,36,0,0,0,50
VRC210516,CA051810516,4/8/2008,42,27,1,0,0,350
VRC060041,CA010210041,6/8/2008,17.5,40,0,1,0,50
VRC160038,CA010210038,6/8/2008,29,35,1,1,1,100
VRC260545,CA051910545,6/10/2008,34,32,1,0,1,600
VRC010064,CA010310064,7/1/2008,16.5,31,0,0,0,NA
VRC110334,CA031210334,7/4/2008,34,36,0,1,0,250
VRC160333,CA031210333,7/4/2008,36,46,0,1,0,200
VRC260151,CA020610151,8/5/2008,45,32,0,0,0,300
VRC310152,CA020610152,8/5/2008,77,38,1,0,0,50
VRC260516,CA051810516,8/9/2008,49,26,0,0,0,150
VRC510333,CA031210333,8/12/2008,72,28,1,0,0,50
VRC060062,CA010310062,9/1/2008,24,32,0,0,0,NA
VRC110127,CA020510127,9/7/2008,33,30,1,0,0,450
VRC010367,CA031310367,10/6/2008,20,31,0,0,0,NA
VRC110041,CA010210041,10/9/2008,23,33,1,0,0,250
VRC210038,CA010210038,10/9/2008,36,33,1,0,0,NA
VRC460062,CA010310062,10/10/2008,NA,27,1,0,0,50
VRC310545,CA051910545,10/11/2008,36,27,1,0,0,50
VRC160334,CA031210334,12/5/2008,40,33,1,0,0,100
VRC210333,CA031210333,12/5/2008,40,36,0,0,1,50
VRC310151,CA020610151,12/6/2008,46,30,0,0,0,800
VRC360152,CA020610152,12/6/2008,83,42,1,0,0,NA
VRC510062,CA010310062,12/11/2008,68,27,0,0,0,50
VRC460286,CA031010286,1/10/2009,NA,35,1,0,0,NA
VRC510516,CA051810516,2/3/2009,73.5,27,1,0,0,50
VRC160469,CA041610469,2/6/2009,31,25,1,0,0,1200
VRC060538,CA051810538,2/11/2009,33,33,1,1,0,NA
VRC360529,CA051810529,2/11/2009,NA,29,0,0,0,200
VRC010529,CA051810529,3/3/2009,16.5,25,0,0,0,NA
VRC010028,CA010110028,3/8/2009,19,40,0,NA,NA,NA
VRC110233,CA030810233,3/8/2009,40,45,0,1,0,350
VRC310228,CA030810228,3/8/2009,47.5,26,1,0,0,200
VRC460224,CA030810224,3/8/2009,NA,36,1,0,0,NA
VRC510223,CA030810223,3/8/2009,105.5,28,1,0,0,50
VRC410127,CA020510127,4/2/2009,NA,23,1,0,0,200
VRC360041,CA010210041,4/3/2009,NA,26,1,0,0,300
VRC460038,CA010210038,4/3/2009,NA,28,0,0,0,650
VRC110558,CA051910558,4/5/2009,35,37,0,0,1,850
VRC410375,CA031310375,4/8/2009,NA,27,1,0,0,NA
VRC010228,CA030810228,5/1/2009,22,30,0,0,0,NA
VRC160224,CA030810224,5/1/2009,40,44,0,0,0,NA
VRC210223,CA030810223,5/1/2009,65,28,1,0,0,NA
VRC160286,CA031010286,5/3/2009,46,38,0,1,0,100
VRC110443,CA041510443,5/10/2009,42,34,1,0,0,NA
VRC510286,CA031010286,5/11/2009,74,39,1,0,0,NA
VRC110375,CA031310375,6/1/2009,22,32,1,0,0,150
VRC060529,CA051810529,6/4/2009,24,26,0,0,0,NA
VRC060596,CA052010596,6/10/2009,25,31,1,0,0,NA
VRC210469,CA041610469,7/7/2009,21,26,1,0,0,3100
VRC010596,CA052010596,7/9/2009,20.5,31,0,0,0,NA
VRC160233,CA030810233,7/9/2009,44,40,0,0,0,600
VRC360228,CA030810228,7/9/2009,NA,26,0,0,0,NA
VRC510224,CA030810224,7/9/2009,64,31,0,0,0,750
VRC110538,CA051810538,7/12/2009,39,27,1,0,0,1550
VRC410529,CA051810529,7/12/2009,NA,28,1,1,0,150
VRC410041,CA010210041,8/4/2009,NA,30,1,0,0,1350
VRC510038,CA010210038,8/4/2009,72,34,1,0,0,1950
VRC160558,CA051910558,8/6/2009,42,33,0,0,0,1550
VRC460375,CA031310375,8/9/2009,NA,21,0,0,0,1500
VRC060228,CA030810228,9/2/2009,28,40,0,0,0,NA
VRC210224,CA030810224,9/2/2009,45,38,0,0,0,50
VRC260223,CA030810223,9/2/2009,68,32,1,0,0,150
VRC210286,CA031010286,9/4/2009,54,38,1,0,0,150
VRC010566,CA051910566,9/9/2009,17,40,0,0,0,NA
VRC160443,CA041510443,9/11/2009,49,32,0,0,0,100
VRC160375,CA031310375,10/2/2009,26,27,0,0,0,NA
VRC010476,CA041610476,10/9/2009,17,37,0,0,0,NA
VRC110596,CA052010596,10/11/2009,29,40,1,0,0,200
VRC460127,CA020510127,11/3/2009,NA,22,0,0,0,200
VRC110529,CA051810529,11/5/2009,25,18,0,0,0,200
VRC260469,CA041610469,11/8/2009,35,22,1,0,1,4150
VRC210233,CA030810233,12/10/2009,45,40,1,0,0,800
VRC410228,CA030810228,12/10/2009,NA,24,0,0,0,600
VRC410233,CA030810233,1/3/2010,NA,40,1,0,0,300
VRC460566,CA051910566,1/8/2010,NA,25,1,0,0,350
VRC210476,CA041610476,2/2/2010,43,27,1,0,0,200
VRC510469,CA041610469,2/2/2010,40,15,0,0,0,2400
VRC410443,CA041510443,3/5/2010,NA,37,0,0,0,100
VRC160566,CA051910566,4/1/2010,31.5,32,0,0,0,100
VRC460558,CA051910558,4/1/2010,NA,15,1,0,0,5250
VRC360596,CA052010596,4/5/2010,NA,30,1,0,0,100
VRC460233,CA030810233,5/4/2010,NA,35,1,0,0,300
VRC410538,CA051810538,5/7/2010,NA,27,1,0,0,400
VRC510566,CA051910566,6/9/2010,57,25,1,0,0,700
VRC460443,CA041510443,7/6/2010,NA,32,0,0,0,NA
VRC210566,CA051910566,8/2/2010,40,33,1,0,0,300
VRC410596,CA052010596,8/6/2010,NA,29,1,0,0,NA
VRC260476,CA041610476,9/3/2010,46,31,1,0,1,450
VRC460538,CA051810538,9/8/2010,NA,23,1,0,0,250
VRC510233,CA030810233,10/5/2010,77,39,1,0,0,200
VRC160538,CA051810538,11/1/2010,50,30,1,0,0,1400
VRC460529,CA051810529,11/1/2010,NA,25,1,0,0,150
